medalistID,Name,Sex,Age,Height,Weight,Team,NOC,Season,Sport,TopMedal,TotalMedals
8585,Oleksandr Mykhailovych Batiuk,M,24,171,67,Soviet Union,URS,Winter,Cross Country Skiing,2,1
8590,Suzy Batkovic (-Brown),F,23,195,89,Australia,AUS,Summer,Basketball,2,3
8607,Vitalina Igorevna Batsarashkina,F,19,162,60,Russia,RUS,Summer,Shooting,2,1
8623,"Guinevere ""Guin"" Batten",F,32,172,74,Great Britain,GBR,Summer,Rowing,2,1
8624,"Jane Kimberley ""Kim"" Batten",F,27,170,57,United States,USA,Summer,Athletics,2,1
8626,Miriam Batten (-Luke),F,35,174,70,Great Britain,GBR,Summer,Rowing,2,1
8629,"James Stewart ""Jim"" Battersby",M,25,195,90,Australia,AUS,Summer,Rowing,1,1
8638,Stefano Battistelli,M,18,176,61,Italy,ITA,Summer,Swimming,1,2
8639,Romano Battisti,M,25,190,91,Italy,ITA,Summer,Rowing,2,1
8646,Yelena Nikolayevna Batukhtina-Tyurina,F,21,184,82,Unified Team,EUN,Summer,Volleyball,2,3
8655,Mavlet Alavdinovich Batyrov,M,20,160,60,Russia,RUS,Summer,Wrestling,3,2
8656,"Yanina Farkhadovna ""Yana"" Batyrshina",F,16,163,47,Russia,RUS,Summer,Rhythmic Gymnastics,2,1
8657,Anna Yevgenyevna Batyushko,F,22,164,69,Belarus,BLR,Summer,Weightlifting,2,1
8662,Sabine Christiane Bau,F,19,180,66,West Germany,FRG,Summer,Fencing,3,5
8664,Herbert Bauch,M,23,182,81,East Germany,GDR,Summer,Boxing,1,1
8667,Bernd Bauchspie,M,25,182,82,Germany,GER,Summer,Football,1,1
8672,Mathieu Albert Daniel Bauderlique,M,27,185,81,France,FRA,Summer,Boxing,1,1
8695,Dennis Bauer,M,19,190,85,Germany,GER,Summer,Fencing,1,1
8712,Luk Bauer,M,28,181,73,Czech Republic,CZE,Winter,Cross Country Skiing,2,3
8715,Robert Bauer,M,21,183,76,Germany,GER,Summer,Football,2,1
8717,Seth David Bauer,M,28,165,50,United States,USA,Summer,Rowing,1,1
8719,"Stephen Todd ""Steve"" Bauer",M,25,170,72,Canada,CAN,Summer,Cycling,2,1
8725,Viola Bauer,F,25,167,61,Germany,GER,Winter,Cross Country Skiing,3,3
8727,Maritta Bauerschmidt (-Grieig),F,18,158,43,East Germany,GDR,Summer,Gymnastics,1,1
8728,"Wilhelm Bernd ""Willi"" Baues",M,23,182,79,West Germany-1,FRG,Summer,Canoeing,2,1
8729,Grgory Benot Baug,M,23,181,100,France,FRA,Summer,Cycling,2,4
8736,"James Steven ""Jamie"" Baulch (Mills-)",M,23,173,71,Great Britain,GBR,Summer,Athletics,2,1
8737,Yury Nikolayevich Baulin,M,26,189,86,Soviet Union,URS,Winter,Ice Hockey,1,1
8741,Frank Baum,M,24,180,77,East Germany,GDR,Summer,Football,2,1
8742,"Hermine ""Herma"" Bauma",F,33,161,68,Austria,AUT,Summer,Athletics,3,1
8748,Alex Baumann,M,28,181,100,Switzerland-1,SUI,Winter,Bobsleigh,2,1
8749,"Alexander ""Alex"" Baumann",M,20,189,80,Canada,CAN,Summer,Swimming,3,2
8752,Dieter Baumann,M,23,178,62,West Germany,FRG,Summer,Athletics,3,2
8769,Matthias Andreas Baumann,M,25,176,69,West Germany,FRG,Summer,Equestrianism,3,2
8780,Daniela Baumer (-Tenger),F,24,168,65,Switzerland,SUI,Summer,Canoeing,2,1
8784,Bernd Baumgart,M,21,190,84,East Germany,GDR,Summer,Rowing,3,1
8786,Wolfgang Baumgart,M,22,186,77,West Germany,FRG,Summer,Hockey,3,1
8789,Frank Baumgartl,M,21,176,61,East Germany,GDR,Summer,Athletics,1,1
8793,Bruce Robert Baumgartner,M,23,188,130,United States,USA,Summer,Wrestling,3,4
8794,Hans-Peter Baumgartner,M,23,190,71,West Germany,FRG,Summer,Athletics,2,1
8801,Hans-Jrgen Bumler,M,18,176,74,Germany-1,GER,Winter,Figure Skating,2,2
8811,Markus Baur,M,33,190,88,Germany,GER,Summer,Handball,2,1
8818,"Dorothy Lee ""Dotsie"" Bausch (Cowden-)",F,39,175,59,United States,USA,Summer,Cycling,2,1
8820,"James Aloysius Bernard ""Jim"" Bausch",M,26,188,95,United States,USA,Summer,Athletics,3,1
8823,Olivier Bausset,M,26,180,69,France,FRA,Summer,Sailing,1,1
8827,Sergey Viktorovich Bautin,M,24,191,91,Unified Team,EUN,Winter,Ice Hockey,3,1
8828,Daniel Bautista Rocha,M,23,170,68,Mexico,MEX,Summer,Athletics,3,1
8847,Allison Baver,F,29,160,57,United States,USA,Winter,Short Track Speed Skating,1,1
8848,Myriam milie Baverel,F,23,174,70,France,FRA,Summer,Taekwondo,2,1
8849,Florence  Andre Isabelle Baverel-Robert,F,31,167,60,France,FRA,Winter,Biathlon,3,2
8875,Honor Jean Bayard,M,26,173,78,France,FRA,Summer,Rugby,2,1
8889,Ernest Henry Bayer,M,23,190,77,United States,USA,Summer,Rowing,2,1
8900,Filbert Bayi Sanka,M,27,183,59,Tanzania,TAN,Summer,Athletics,2,1
8902,Fita Bayissa,M,19,173,52,Ethiopia,ETH,Summer,Athletics,1,1
8910,Ryan Neville Bayley,M,22,182,90,Australia,AUS,Summer,Cycling,3,2
8912,William Henry Will Baylis,M,26,185,84,United States,USA,Summer,Sailing,2,1
8915,Lisa Jayne Bayliss,F,25,167,68,Great Britain,GBR,Summer,Hockey,1,1
8930,Mithat Bayrak,M,27,172,78,Turkey,TUR,Summer,Wrestling,3,2
8936,Rvn Bayramov,M,21,160,59,Azerbaijan,AZE,Summer,Wrestling,2,2
